Image_Vector,Label
[254 251 251 ... 141 255 255],UnPhising
[240 240 240 ... 211 211 211],UnPhising
[140 254 252 ... 255 255 255],UnPhising
[204 204 204 ...  23  26  24],UnPhising
[15 17 18 ... 26 15 15],UnPhising
[102 101 186 ...  64  66  66],UnPhising
[0 0 0 ... 0 0 0],UnPhising
[231 232 255 ... 254 232 231],UnPhising
[236 236 236 ... 255 255 255],UnPhising
[ 0 20 41 ...  8  8 18],UnPhising
[53 53 53 ... 53 53 53],UnPhising
[245 245 245 ... 255 255 255],UnPhising
[225 225 225 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 95  95  95 ... 244 244 244],UnPhising
[ 24 255 255 ...  11  22  27],UnPhising
[20 20 20 ... 20 20 20],UnPhising
[153 153 153 ... 153 153 153],UnPhising
[255 255 255 ...  51  51  51],UnPhising
[ 89  89 255 ... 254  89  89],UnPhising
[239 239 239 ... 255 255 255],UnPhising
[47 47 47 ... 43 43 43],UnPhising
[255 255 255 ... 248 255 255],UnPhising
[255 255 255 ... 122 254 255],UnPhising
[230 230 230 ... 255 255 255],UnPhising
[228 223 219 ... 242 242 242],UnPhising
[ 36  36  36 ... 254 253 255],UnPhising
[24 24 24 ... 40 40 40],UnPhising
[254 254 253 ... 255 255 255],UnPhising
[ 49  49  49 ... 255 255 255],UnPhising
[107 108 119 ...   0   0   0],UnPhising
[ 20  20  21 ... 255 255  40],UnPhising
[153  77  77 ... 255 255 153],UnPhising
[221 218 218 ... 255 255 218],UnPhising
[207 161 161 ... 145 145 145],UnPhising
[ 64  67  65 ... 215 219 207],UnPhising
[255 255 239 ...  27  26 255],UnPhising
[ 89  80  80 ... 241 255 101],UnPhising
[ 15  15  15 ... 255 255 234],UnPhising
[ 95  95  95 ... 244 244 244],UnPhising
[207 161 161 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[  1   1   0 ...   0 181 177],UnPhising
[254 251 249 ... 255 255 255],UnPhising
[193 255 255 ... 246 255 255],UnPhising
[164 166 164 ... 167 161 162],UnPhising
[255 255 255 ... 163 163 163],UnPhising
[245 253 253 ... 255 255 255],UnPhising
[  0   0   0 ... 255 255 255],UnPhising
[248 248 248 ...  70  61 167],UnPhising
[138 138 138 ... 100 100 100],UnPhising
[ 61  66  59 ... 206 208 209],UnPhising
[241 241 241 ... 255 255 241],UnPhising
[ 23  23  23 ... 255 255 255],UnPhising
[255 255 255 ...  53  53 255],UnPhising
[213 216 118 ... 255 255 255],UnPhising
[ 78 108  75 ... 255 255 255],UnPhising
[61 61 61 ... 17 17 17],UnPhising
[255 255 255 ... 227 227 227],UnPhising
[ 70  70  70 ... 255 255 255],UnPhising
[254 192 254 ... 255 255 255],UnPhising
[ 52  54  54 ... 214 214 214],UnPhising
[ 51  51  51 ... 255 251 251],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ... 193 193 193],UnPhising
[227 227 227 ... 200   2   0],UnPhising
[51 51 51 ... 49 49 49],UnPhising
[241 241 241 ... 241 241 241],UnPhising
[241 241 241 ... 229 229 229],UnPhising
[ 84 148  97 ...  25  20  85],UnPhising
[  0  77  79 ... 254 254  28],UnPhising
[30 29 88 ... 94 94 94],UnPhising
[241 241 241 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[35 41 40 ... 99 94 94],UnPhising
[254 254 254 ...  50  47  48],UnPhising
[200 225 206 ... 255 255 255],UnPhising
[255 211 218 ...  32  31 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 249 255 ... 238 238 238],UnPhising
[34 34 34 ... 37 37 36],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ... 248 239 240],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[120 120 121 ...  32 255 255],UnPhising
[ 87  87  97 ... 250 250 250],UnPhising
[  0   0   0 ... 207 208 237],UnPhising
[191 247 247 ... 255  34  34],UnPhising
[  0   0   0 ... 239 255 255],UnPhising
[159 159 159 ... 152 156 132],UnPhising
[223 222 221 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[157 157 156 ...  19   7 208],UnPhising
[ 60  60  60 ... 100 102  99],UnPhising
[194 194 194 ... 240 240 240],UnPhising
[255 255 254 ... 255 255 255],UnPhising
[ 13  15  13 ... 255 255 255],UnPhising
[ 29  29  29 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[116 116 116 ... 255 255 255],UnPhising
[ 58  58  58 ... 235 235 235],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 12  44  44 ... 162 255  17],UnPhising
[47 47 47 ... 59 59 59],UnPhising
[ 42  42  42 ... 247 247 247],UnPhising
[255 255 255 ... 232 232 232],UnPhising
[ 41  41  41 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 26  26  26 ... 242 242 242],UnPhising
[ 39  39  39 ... 237 237 237],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ... 106 255 255],UnPhising
[  0   0   0 ... 104 104 104],UnPhising
[ 67  27  33 ... 100 100 218],UnPhising
[79 79 72 ... 97 97 97],UnPhising
[123 123 123 ... 123 123 123],UnPhising
[206 206 206 ... 243 243 243],UnPhising
[118 118 118 ... 255 254 204],UnPhising
[ 79  80  81 ... 188 188 187],UnPhising
[0 0 0 ... 0 0 0],UnPhising
[223 222 222 ... 255 255 255],UnPhising
[61 61 61 ... 63 63 63],UnPhising
[242 242 242 ... 205 205 205],UnPhising
[88 88 88 ... 34 34 34],UnPhising
[ 86  86  87 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[119 119 119 ... 255 255 255],UnPhising
[ 16  16  16 ... 205 205 205],UnPhising
[253 253 253 ... 253 253 253],UnPhising
[  0   0   0 ... 255 255 255],UnPhising
[ 20  20  20 ... 255 255 255],UnPhising
[130 223 139 ... 183 183 183],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 77  77  77 ... 255 255 255],UnPhising
[ 40  40  40 ... 255 255 255],UnPhising
[ 68  68  68 ... 254 255 255],UnPhising
[246 246 246 ... 255 255 255],UnPhising
[156 158 255 ... 231 231 231],UnPhising
[237  92  69 ... 255 255 255],UnPhising
[239 239 239 ...  51  51 255],UnPhising
[113 113 124 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[105 105 105 ... 189 189 189],UnPhising
[246 246 246 ... 255 255 255],UnPhising
[255 255 255 ... 179 190 255],UnPhising
[255 255 241 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[51 51 51 ... 51 51 51],UnPhising
[255 255 255 ... 255 255 224],UnPhising
[ 84  84  84 ... 240 242 218],UnPhising
[ 49  49  49 ... 255 255 255],UnPhising
[255 252 253 ... 255 252 255],UnPhising
[105 103 105 ... 199 200 212],UnPhising
[ 80  80  80 ... 255 114 114],UnPhising
[ 90  90  90 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[243 243 243 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 10  10  10 ... 247 247 247],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 54  54  54 ... 255 255 255],UnPhising
[34 33 34 ... 55 55 55],UnPhising
[255 255 255 ...  93 254 255],UnPhising
[248 248 248 ... 255 255 255],UnPhising
[45 45 45 ... 68 68 68],UnPhising
[ 74  74  74 ... 254 255 255],UnPhising
[238 238 238 ...  30  30  30],UnPhising
[ 20  20  20 ... 249 249 249],UnPhising
[ 77  77  77 ... 255 255 255],UnPhising
[40 40 40 ... 85 85 85],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 20  20  20 ... 249 249 249],UnPhising
[125 125 125 ... 255 255 255],UnPhising
[255 229 229 ... 255 255 240],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 51  51  51 ... 143 143 142],UnPhising
[ 81  81  81 ... 140 140 140],UnPhising
[193 193 193 ... 224 224 224],UnPhising
[ 83 218  85 ...  82  86  85],UnPhising
[ 85  85  85 ... 249 249 249],UnPhising
[255 255 254 ... 255 255 249],UnPhising
[  0   0   0 ... 236 236 236],UnPhising
[ 34  34  34 ... 245 245 245],UnPhising
[255 255 254 ... 255 255 255],UnPhising
[255 254 242 ...   0   0 255],UnPhising
[ 51  51  51 ... 255 255 255],UnPhising
[ 67  60  61 ... 254 255 255],UnPhising
[ 51  52  51 ... 255 255 255],UnPhising
[255 255 254 ... 255 255 255],UnPhising
[243 243 243 ... 255 255 255],UnPhising
[113 113 113 ... 232 232 232],UnPhising
[248 248 248 ... 238 238 238],UnPhising
[ 57  57  57 ... 251 251 251],UnPhising
[ 85  86  83 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[73 73 73 ...  4  3  5],UnPhising
[ 41  41  41 ... 247 247 247],UnPhising
[212 212 212 ... 245 255 255],UnPhising
[255 229 238 ... 244 244 244],UnPhising
[197 197 197 ... 246 246 246],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 83  83 252 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ...  54  54  54],UnPhising
[167 167 167 ... 221  93  99],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[  0   0   0 ... 255 255 240],UnPhising
[236  26  26 ... 254 255 236],UnPhising
[255 255 254 ...  11   7  17],UnPhising
[244 244 244 ... 254 254 255],UnPhising
[102 102 102 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[254 254 253 ... 243 248 201],UnPhising
[ 34  34 113 ...  34  34  34],UnPhising
[ 42  37  39 ... 243 243 243],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 82  82  82 ... 255 255 255],UnPhising
[ 50  50  50 ... 137 137 137],UnPhising
[36 40 95 ... 37 34 32],UnPhising
[255 197 197 ... 174 181 255],UnPhising
[255 255 255 ... 244 244 244],UnPhising
[245 245 245 ... 245 245 245],UnPhising
[255 255 217 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[241 241 241 ... 241 241 241],UnPhising
[255 255  64 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[255 255 255 ... 251 251 251],UnPhising
[ 44  44  44 ... 255 255 255],UnPhising
[224 225 226 ... 241 255 255],UnPhising
[ 47  47  49 ... 255 255 255],UnPhising
[ 68  70  71 ... 255 255 255],UnPhising
[114 114 114 ...  63  18  38],UnPhising
[ 72  72  72 ... 255 251 251],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[156 255 255 ... 255 255 156],UnPhising
[ 58  58  58 ... 233 235 235],UnPhising
[58 58 58 ... 79 79 79],UnPhising
[105 105 105 ... 255 255 144],UnPhising
[ 54  54  54 ... 216 217 218],UnPhising
[ 80  80  80 ... 255 255 255],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 97  97  97 ... 255 255 255],UnPhising
[255 255 255 ...  44  44  44],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[241 241 241 ... 241 241 241],UnPhising
[255 255 255 ... 255 255 255],UnPhising
[ 71 247 232 ... 251 251 255],UnPhising
[ 61  77  77 ... 250 250 250],UnPhising
[242 242 242 ...  49  49  49],UnPhising
