File,Label
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (124).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (106).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (116).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (111).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (103).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (125).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (118).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (105).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (120).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (100).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (114).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (11).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (1).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (117).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (12).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (104).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (122).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (10).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (110).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (108).jpg,UnPhising
/content/gdrive/MyDrive/dataset_phishing/train/UnPhising/Unphish (121).jpg,UnPhising
